matmult cycles/loop iteration
  n   jki   kji   ijk   jik   kij   ikj
 50  4.80  4.83  3.75  3.93  1.86  1.78
100  4.68  4.72  4.08  4.14  1.78  1.80
150  4.65  4.64  4.33  4.36  2.14  2.12
200  4.80  4.69  4.45  4.47  2.30  2.03
250  6.84  6.83  4.45  4.52  2.23  1.96
300 15.03 15.10  4.45  4.56  2.18  1.92
350 22.78 22.68  4.45  4.57  2.14  1.89
400 29.39 29.18  4.47  4.60  2.12  1.86
450 40.39 40.26  7.73  7.96  2.12  1.86
500 57.06 57.02 18.77 19.05  2.13  1.88
550 60.54 60.53 20.36 20.59  2.13  1.89
600 63.33 63.34 21.67 21.86  2.14  1.90
650 65.61 65.62 22.76 22.92  2.16  1.91
700 67.49 67.53 23.71 23.82  2.22  1.95

//初始
  n   jki   kji   ijk   jik   kij   ikj
 50  2.39  2.40  2.42  2.50  0.74  0.63 
100  2.72  2.73  2.75  2.84  0.76  0.77 
150  2.87  2.83  3.23  3.30  0.89  0.87 
200  2.96  2.87  3.46  3.47  1.00  0.98 
250  2.94  2.94  3.44  3.50  0.92  0.80 
300  3.56  3.56  3.62  3.71  0.97  0.96 
350  3.99  4.12  3.66  3.74  0.97  0.92 
400  4.23  4.21  3.69  3.81  0.96  0.94 
450  4.25  4.26  3.75  3.83  0.99  0.93 
500  4.29  4.31  3.79  3.86  1.02  0.94 
550  4.39  4.37  3.80  3.90  1.13  0.93 
600  4.49  4.46  3.81  3.87  1.13  0.94 
650  5.15  5.03  3.82  3.88  1.17  0.95 
700  7.09  6.99  3.84  3.90  1.13  1.04 
