Clock frequency is approx. 4008.0 MHz
Memory mountain (MB/sec)
		s1		s2		s3		s4		s5		s6		s7		s8		s9		s10		s11		s12		s13		s14		s15	
128m	17577	10726	7822	6029	4919	4000	3517	3165	2965	2789	2612	2484	2389	2309	2268	
64m		18226	10904	7893	6094	5053	4076	3585	3269	3110	2950	2771	2621	2509	2408	2354	
32m		18921	11216	8294	6426	5248	4330	3841	3531	3489	3362	3166	3003	2960	2811	2802	
16m		19931	12899	10364	7938	5857	4644	4778	4428	4297	4630	4490	4581	4526	4576	4704
	
8m		28789	19020	14910	12567	11194	9408	8380	8035	7633	7450	7105	6740	6433	6316	6211
4m		33210	22493	18519	15841	13474	11564	10096	8908	8347	7796	7338	6920	6649	6450	6311	
2m		33178	22810	18521	15820	13461	11547	10099	8911	8325	7804	7344	6925	6647	6440	6317	
1024k	33147	22437	18566	15776	13452	11548	10065	8908	8326	7799	7311	6911	6647	6453	6357	
512k	33389	23403	19209	16476	14066	12110	10572	9359	8812	8451	8022	7710	7569	7518	7534

256k	34166	28377	24888	22552	20003	17382	15187	13754	13130	13058	13009	13190	13253	13549	13947	
128k	34202	32695	31158	28726	25004	21812	18999	16903	17167	16778	16657	17296	16760	16879	16733	
64k		34077	33444	32392	30359	26319	23310	20426	17835	17474	17879	18115	16889	18519	19105	28289	

32k		33779	33199	32620	32064	31759	30915	30457	30012	29835	28985	28623	28201	27521	29217	28985	
16k		33165	32127	31002	30012	29114	28201	29217	28601	27949	27469	26762	23787	23380	22875	22105	
